,size,time,type,value,sid
68,0,2018-04-24 01:51:09,TRADE,9181.1,XBTUSD KRKN Curncy
69,0,2018-04-24 01:56:02,BID,9189.0,XBTUSD KRKN Curncy
70,0,2018-04-24 01:56:02,ASK,9194.5,XBTUSD KRKN Curncy
71,0,2018-04-24 01:56:02,TRADE,9193.9,XBTUSD KRKN Curncy
72,0,2018-04-24 02:01:02,BID,9194.0,XBTUSD KRKN Curncy
73,0,2018-04-24 02:01:02,ASK,9194.6,XBTUSD KRKN Curncy
74,0,2018-04-24 02:01:02,TRADE,9194.6,XBTUSD KRKN Curncy
75,0,2018-04-24 02:06:13,BID,9199.0,XBTUSD KRKN Curncy
76,0,2018-04-24 02:06:13,ASK,9200.9,XBTUSD KRKN Curncy
77,0,2018-04-24 02:06:13,TRADE,9204.9,XBTUSD KRKN Curncy
78,0,2018-04-24 02:11:33,BID,9207.6,XBTUSD KRKN Curncy
79,0,2018-04-24 02:11:33,ASK,9207.7,XBTUSD KRKN Curncy
80,0,2018-04-24 02:11:33,TRADE,9207.7,XBTUSD KRKN Curncy
81,0,2018-04-24 02:17:22,BID,9219.8,XBTUSD KRKN Curncy
82,0,2018-04-24 02:17:22,ASK,9228.4,XBTUSD KRKN Curncy
83,0,2018-04-24 02:17:22,TRADE,9215.1,XBTUSD KRKN Curncy
84,0,2018-04-24 02:21:29,BID,9200.5,XBTUSD KRKN Curncy
85,0,2018-04-24 02:21:29,ASK,9207.1,XBTUSD KRKN Curncy
86,0,2018-04-24 02:21:29,TRADE,9207.3,XBTUSD KRKN Curncy
87,0,2018-04-24 02:26:24,BID,9194.3,XBTUSD KRKN Curncy
88,0,2018-04-24 02:26:24,ASK,9194.5,XBTUSD KRKN Curncy
89,0,2018-04-24 02:26:24,TRADE,9194.3,XBTUSD KRKN Curncy
90,0,2018-04-24 02:31:21,BID,9199.0,XBTUSD KRKN Curncy
91,0,2018-04-24 02:31:21,ASK,9203.5,XBTUSD KRKN Curncy
92,0,2018-04-24 02:31:21,TRADE,9203.5,XBTUSD KRKN Curncy
93,0,2018-04-24 02:36:21,BID,9192.1,XBTUSD KRKN Curncy
94,0,2018-04-24 02:36:21,ASK,9192.2,XBTUSD KRKN Curncy
95,0,2018-04-24 02:36:21,TRADE,9192.2,XBTUSD KRKN Curncy
96,0,2018-04-24 02:41:28,BID,9192.1,XBTUSD KRKN Curncy
97,0,2018-04-24 02:41:28,ASK,9199.8,XBTUSD KRKN Curncy
98,0,2018-04-24 02:41:28,TRADE,9200.0,XBTUSD KRKN Curncy
99,0,2018-04-24 02:46:28,BID,9194.2,XBTUSD KRKN Curncy
100,0,2018-04-24 02:46:28,ASK,9194.8,XBTUSD KRKN Curncy
101,0,2018-04-24 02:46:28,TRADE,9194.2,XBTUSD KRKN Curncy
102,0,2018-04-24 02:51:21,BID,9191.9,XBTUSD KRKN Curncy
103,0,2018-04-24 02:51:21,ASK,9197.6,XBTUSD KRKN Curncy
104,0,2018-04-24 02:51:21,TRADE,9192.2,XBTUSD KRKN Curncy
105,0,2018-04-24 02:56:16,BID,9205.9,XBTUSD KRKN Curncy
106,0,2018-04-24 02:56:16,ASK,9209.7,XBTUSD KRKN Curncy
107,0,2018-04-24 02:56:16,TRADE,9209.7,XBTUSD KRKN Curncy
108,0,2018-04-24 03:01:17,BID,9215.0,XBTUSD KRKN Curncy
109,0,2018-04-24 03:01:17,ASK,9217.9,XBTUSD KRKN Curncy
110,0,2018-04-24 03:01:17,TRADE,9215.0,XBTUSD KRKN Curncy
